iter	Passed	Remaining
0	6631	656537
1	9746	477558
2	12692	410389
3	15712	377096
4	19035	361675
5	21963	344089
6	24916	331036
7	27914	321015
8	30980	313246
9	34212	307910
10	37119	300332
11	40109	294137
12	43108	288497
13	46289	284349
14	49369	279761
15	52271	274427
16	55516	271052
17	58508	266539
18	61456	261997
19	64450	257803
20	67478	253846
21	70364	249473
22	73575	246316
23	76504	242263
24	79499	238498
25	82555	234966
26	85536	231264
27	88758	228235
28	91712	224536
29	94596	220726
30	97495	217007
31	100440	213435
32	103629	210400
33	106630	206987
34	109609	203560
35	112848	200619
36	115767	197118
37	118785	193808
38	121667	190299
39	124849	187274
40	127878	184020
41	130843	180688
42	133813	177380
43	136752	174048
44	139699	170744
45	142603	167404
46	145483	164055
47	148612	160996
48	151516	157701
49	154430	154430
50	157576	151397
51	160557	148207
52	163464	144959
53	166389	141739
54	169530	138707
55	172407	135462
56	175331	132267
57	178249	129077
58	181470	126106
59	184482	122988
60	187475	119861
61	190712	116888
62	193636	113723
63	196550	110559
64	199485	107415
65	202601	104370
66	205676	101303
67	208626	98177
68	211552	95045
69	214767	92043
70	217707	88922
71	220722	85836
72	223659	82723
73	226989	79753
74	230108	76702
75	233119	73616
76	236238	70564
77	239321	67500
78	242209	64384
79	245112	61278
80	248345	58253
81	251301	55163
82	254487	52123
83	257466	49041
84	260442	45960
85	263370	42874
86	266574	39833
87	269519	36752
88	272386	33665
89	275546	30616
90	278554	27549
91	281516	24479
92	284477	21412
93	287446	18347
94	290652	15297
95	293577	12232
96	296509	9170
97	299405	6110
98	302550	3056
99	305516	0
