iter	MAE	RMSE
0	0.2842538702	1.994023975
10	0.2684104755	1.948592209
20	0.2549217148	1.909670653
30	0.2437188311	1.876322871
40	0.2343364317	1.84792465
50	0.2263649401	1.823506993
60	0.2192979919	1.802703099
70	0.2131804853	1.784225338
80	0.2076244344	1.768686382
90	0.2028835039	1.755514613
100	0.1986833237	1.744069467
110	0.194936134	1.73405105
120	0.1916095626	1.725561709
130	0.1887396122	1.718014415
140	0.1861196076	1.711506285
150	0.1837970584	1.705658254
160	0.1811880171	1.700705517
170	0.1786897455	1.696190349
180	0.1765478792	1.692205107
190	0.1741970005	1.68870954
200	0.1724156808	1.685626218
210	0.170632568	1.682770757
220	0.16898857	1.680306729
230	0.1677325718	1.67794442
240	0.166196043	1.675875737
250	0.1648292029	1.67401787
260	0.1637200333	1.672296733
270	0.1626344047	1.670711925
280	0.1615895982	1.669228479
290	0.160552008	1.667847521
300	0.1597316561	1.666464841
310	0.1587883429	1.665389868
320	0.1580427318	1.664290642
330	0.1573480728	1.663368043
340	0.1567094014	1.662283605
350	0.1561614323	1.661419648
360	0.1556508465	1.660616774
370	0.1551859706	1.659953662
380	0.1547525083	1.659200076
390	0.154375942	1.658401992
400	0.1539483859	1.657786916
410	0.1536430395	1.657189213
420	0.153313491	1.656641142
430	0.1529488222	1.656101107
440	0.1527144873	1.655618025
450	0.1523699016	1.655096674
460	0.1520272528	1.654646129
470	0.1518126675	1.654149136
480	0.1515125575	1.653736423
490	0.1512535318	1.653384276
499	0.1510436076	1.652950353
